target,estimate,basic_lower,basic_upper,bootstrap_sd
beta0,1.2641058002817842,1.231455198434898,1.7456599092547425,0.1274965679409141
beta1,0.6492612456230485,0.392797983443506,0.6469165857600911,0.06603708951088139
rho,0.4815933405219417,0.16779788063423529,0.5990350337592774,0.1162003673848488
