target,estimate,basic_lower,basic_upper,bootstrap_sd
beta0,1.2641058002817842,1.2431133436396076,1.6656183926383727,0.11893333223235147
beta1,0.6492612456230485,0.4152716434532524,0.6576606882271812,0.07176144279049436
rho,0.4815933405219417,0.25825780695367384,0.5358316371413061,0.08376289833505993
